display_name,recipient,match_1,match_2,match_3,match_4,match_5,match_6,match_7,match_8,match_9,match_10
"('amin s ghabrial', 'UNIVERSITY OF PENNSYLVANIA')",null,null,null,null,null,null,null,null,null,null,
"('samir n ghadiali', 'UNIVERSITY OF PITTSBURGH AT PITTSBURGH')",null,null,null,null,null,null,null,null,null,null,
"('m reza ghadiri', 'SCRIPPS RESEARCH INSTITUTE, THE')","['Reza M. Ghadiri', 'Scripps Research Institute']","['M. Reza Ghadiri', 'Scripps Research Institute']","['M. Reza Ghadiri', 'Scripps Research Institute']","['and M. Reza Ghadiri', 'Scripps Research Institute']","['M.R. Ghadiri', 'Scripps Research Institute']","['M. R. Ghadiri', 'Scripps Research Institute']","['M. R. Ghadiri', 'Scripps Research Institute']",null,null,null,
"('sina ghaemmaghami', 'UNIVERSITY OF ROCHESTER')","['Sina Ghaemmaghami', 'University of Rochester']","['Sina Ghaemmaghami', 'University of Rochester']",null,null,null,null,null,null,null,null,
"('saghi ghaffari', 'ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI')","['Saghi Ghaffari', 'Icahn School of Medicine at Mount Sinai']","['Saghi Ghaffari', 'Icahn School of Medicine at Mount Sinai']","['Saghi Ghaffari', 'Icahn School of Medicine at Mount Sinai']","['Saghi Ghaffari', 'Icahn School of Medicine at Mount Sinai']","['Saghi Ghaffari', 'Icahn School of Medicine at Mount Sinai']","['Saghi Ghaffari', 'Icahn School of Medicine at Mount Sinai']","['Saghi Ghaffari', 'Icahn School of Medicine at Mount Sinai']","['Saghi Ghaffari', 'Icahn School of Medicine at Mount Sinai']","['Saghi Ghaffari', 'Icahn School of Medicine at Mount Sinai']",null,
"('dara ghahremani', 'UNIVERSITY OF CALIFORNIA LOS ANGELES')","['Dara Ghahremani', 'University of California, Los Angeles']","['Dara G. Ghahremani', 'University of California, Los Angeles']","['Dara G Ghahremani', 'University of California, Los Angeles']","['Dara G. Ghahremani', 'University of California, Los Angeles']",null,null,null,null,null,null,
"('shweta ghai', 'EMORY UNIVERSITY')","['Shweta Ghai', 'Emory University']",null,null,null,null,null,null,null,null,null,
"('hamid ghandehari', 'UNIVERSITY OF UTAH')","['Hamid Ghandehari', 'University of Utah']","['Hamidreza Ghandehari', 'University of Utah']","['Hamidreza Ghandehari', 'University of Utah']","['Hamidreza Ghandehari', 'University of Utah']","['Hamidreza Ghandehari', 'University of Utah']","['Hamidreza Ghandehari', 'University of Utah']","['Hamidreza Ghandehari', 'University of Utah']",null,null,null,
"('khalil g ghanem', 'JOHNS HOPKINS UNIVERSITY')","['Khalil G Ghanem', 'Johns Hopkins University']","['Khalil G Ghanem', 'Johns Hopkins University']",null,null,null,null,null,null,null,null,
"('louis ghanem', ""CHILDREN'S HOSP OF PHILADELPHIA"")",null,null,null,null,null,null,null,null,null,null,
"('marc ghany', 'NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES')","['Marc Ghany', 'National Institute of Diabetes and Digestive and Kidney Diseases']","['Marc G. Ghany', 'National Institute of Diabetes and Digestive and Kidney Diseases']","['Marc G Ghany', 'National Institute of Diabetes and Digestive and Kidney Diseases']",null,null,null,null,null,null,null,
"('editte gharakhanian', 'CALIFORNIA STATE UNIVERSITY LONG BEACH')","['Editte Gharakhanian', 'California State University, Long Beach']","['Editte Gharakhanian', 'California State University, Long Beach']","['Editte Gharkhanian', 'California State University, Long Beach']",null,null,null,null,null,null,null,
"('ali g gharavi', 'COLUMBIA UNIVERSITY HEALTH SCIENCES')",null,null,null,null,null,null,null,null,null,null,
"('ahmed gharib', 'NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES')",null,null,null,null,null,null,null,null,null,null,
"('mohammadhossein behnam ghasemzadeh', 'MARQUETTE UNIVERSITY')","['M. Behnam Ghasemzadeh', 'Marquette University']","['Behnam Ghasemzadeh', 'Marquette University']",null,null,null,null,null,null,null,null,
"('hooman troy ghashghaei', 'NORTH CAROLINA STATE UNIVERSITY RALEIGH')","['Troy H. Ghashghaei', 'North Carolina State University']","['H. Troy Ghashghaei', 'North Carolina State University']","['H Troy Ghashghaei', 'North Carolina State University']","['H Troy Ghashghaei', 'North Carolina State University']","['H Troy Ghashghaei', 'North Carolina State University']",null,null,null,null,null,
"('gautam sudhir ghatnekar', 'XEQUEL BIO, INC.')",null,null,null,null,null,null,null,null,null,null,
"('asif ghazanfar', 'PRINCETON UNIVERSITY')","['Asif Ghazanfar', 'Princeton University']","['Asif A Ghazanfar', 'Princeton University']","['Asif A Ghazanfar', 'Princeton University']","['Asif A. Ghazanfar', 'Princeton University']",null,null,null,null,null,null,
